iter	Passed	Remaining
698	82558	18779
699	82675	18661
700	82802	18544
701	82929	18428
702	83042	18309
703	83168	18193
704	83299	18077
705	83407	17957
706	83542	17842
707	83674	17727
708	83801	17611
709	83908	17490
710	84026	17372
711	84150	17255
712	84274	17138
713	84406	17023
714	84551	16910
715	84685	16795
716	84802	16676
717	84934	16560
718	85069	16446
719	85207	16331
720	85332	16214
721	85442	16094
722	85574	15978
723	85706	15862
724	85844	15748
725	85966	15630
726	86087	15512
727	86214	15395
728	86316	15274
729	86428	15154
730	86535	15034
731	86652	14915
732	86782	14799
733	86931	14685
734	87069	14570
735	87186	14452
736	87291	14331
737	87420	14214
738	87539	14096
739	87667	13979
740	87803	13863
741	87928	13746
742	88051	13628
743	88164	13509
744	88281	13390
745	88399	13271
746	88542	13156
747	88683	13041
748	88806	12923
749	88916	12804
750	89038	12685
751	89155	12567
752	89302	12452
753	89429	12335
754	89547	12216
755	89685	12100
756	89800	11981
757	89946	11866
758	90069	11748
759	90213	11632
760	90336	11514
761	90468	11397
762	90593	11279
763	90712	11160
764	90831	11042
765	90940	10922
766	91067	10804
767	91209	10688
768	91343	10571
769	91464	10453
770	91604	10336
771	91727	10218
772	91815	10096
773	91957	9979
774	92073	9860
775	92193	9742
776	92325	9624
777	92454	9506
778	92578	9388
779	92687	9268
780	92801	9149
781	92923	9030
782	93038	8911
783	93154	8792
784	93280	8674
785	93408	8556
786	93516	8436
787	93644	8318
788	93762	8199
789	93885	8081
790	94011	7963
791	94130	7844
792	94242	7724
793	94336	7603
794	94451	7484
795	94599	7368
796	94708	7248
797	94822	7129
798	94946	7011
799	95051	6891
800	95201	6774
801	95332	6656
802	95460	6538
803	95572	6419
804	95679	6299
805	95792	6180
806	95901	6060
807	96010	5941
808	96160	5824
809	96292	5706
810	96418	5587
811	96546	5469
812	96645	5349
813	96769	5230
814	96887	5111
815	97013	4993
816	97122	4873
817	97227	4754
818	97337	4635
819	97455	4516
820	97569	4397
821	97698	4278
822	97820	4160
823	97955	4041
824	98089	3923
825	98211	3804
826	98347	3686
827	98488	3568
828	98615	3449
829	98731	3330
830	98858	3212
831	98979	3093
832	99105	2974
833	99215	2855
834	99360	2736
835	99493	2618
836	99636	2499
837	99755	2380
838	99907	2262
839	100026	2143
840	100140	2024
841	100251	1905
842	100352	1785
843	100439	1666
844	100561	1547
845	100687	1428
846	100818	1309
847	100953	1190
848	101078	1071
849	101204	952
850	101332	833
851	101457	714
852	101592	595
853	101710	476
854	101843	357
855	101959	238
856	102092	119
857	102215	0
